place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJN6XxqrW_9YgRu1g2MeBQLCE,Accent Roofing Service,,False,1948,https://www.accentroofingservice.com/,Accent Roofing Service (Owner),https://www.google.com/maps/contrib/109856724794635008161,https://lh5.googleusercontent.com/p/AF1QipPHFtAZwp4LqpvgpRhnfg8LQlBW3ivYPQKfc_xx=w408-h272-k-no,Roofing contractor,Roofing contractor,5,Open 24 hours,,(470) 613-6961,"Accent Roofing Service, 885 Buford Dr, Lawrenceville, GA 30043","sales, project manager, supervisor, drone, site manager, yard, team work, ridge vent, boots, production",https://www.google.com/maps/place/Accent+Roofing+Service/data=!4m7!3m6!1s0x88f5bfb5aaf1a537:0x212c50e0313658bb!8m2!3d33.9860832!4d-83.983972!16s%2Fg%2F12615xycy!19sChIJN6XxqrW_9YgRu1g2MeBQLCE?authuser=0&hl=en&rclk=1
ChIJR5bE_Ax19YgRkHNfDXphaRE,Dr Roof Atlanta,,False,718,http://www.drroof.com/,Dr Roof Atlanta (Owner),https://www.google.com/maps/contrib/105465017499506583532,https://lh5.googleusercontent.com/p/AF1QipNxBeA31zaCEYe3jX_g-bLJpwlvAbevhFFhPfAo=w426-h240-k-no,Roofing contractor,"Roofing contractor, Siding contractor",4.7,7 AM-7 PM,"Saturday, Sunday",(770) 450-8843,"Dr Roof Atlanta, 88 Mansell Ct, Roswell, GA 30076","estimate, work, supervisor, pictures, paint, technician, project manager, invoice, quality control, salesperson",https://www.google.com/maps/place/Dr+Roof+Atlanta/data=!4m7!3m6!1s0x88f5750cfcc49647:0x1169617a0d5f7390!8m2!3d34.039441!4d-84.332098!16s%2Fg%2F1tcx7vzy!19sChIJR5bE_Ax19YgRkHNfDXphaRE?authuser=0&hl=en&rclk=1
ChIJaaP_4xGn9YgR3WtmnWupulo,Dom Restoration & Roofing,,False,419,https://www.domroofing.com/,Dom Restoration & Roofing (Owner),https://www.google.com/maps/contrib/103457141957363001575,https://lh5.googleusercontent.com/p/AF1QipMMAeiWIa8LpXiJjI5nIyQPI1EdZ7kYND7rjSIY=w426-h240-k-no,Roofing contractor,"Roofing contractor, Roofing supply store",5,8 AM-8 PM,,(678) 766-9646,"Dom Restoration & Roofing, 594 Wimbledon Rd NE #6113, Atlanta, GA 30324","job, insurance company, videos, pictures, work, project manager, roof inspection, gutter cleaning, drone, brand",https://www.google.com/maps/place/Dom+Restoration+%26+Roofing/data=!4m7!3m6!1s0x88f5a711e3ffa369:0x5abaa96b9d666bdd!8m2!3d33.8066884!4d-84.3672876!16s%2Fg%2F11fmz8h2c4!19sChIJaaP_4xGn9YgR3WtmnWupulo?authuser=0&hl=en&rclk=1
ChIJT87kJGgE9YgRt4pPxB7vb6o,"Castle Roofing Atlanta, GA",,False,385,https://www.castleroofing.us/,"Castle Roofing Atlanta, GA (Owner)",https://www.google.com/maps/contrib/100931718278672858194,https://lh5.googleusercontent.com/p/AF1QipMGSpzNlcKF0Yj3SoAO3UjMZqonDymjqA0lnNk2=w408-h306-k-no,Roofing contractor,Roofing contractor,4.8,Open 24 hours,,(470) 601-6422,"Castle Roofing Atlanta, GA, 1201 W Peachtree St NE FL. 3, Atlanta, GA 30361","leak, inspection, work, efficient, responsive, technician, chimney, roof repair, tree, inspector","https://www.google.com/maps/place/Castle+Roofing+Atlanta,+GA/data=!4m7!3m6!1s0x88f5046824e4ce4f:0xaa6fef1ec44f8ab7!8m2!3d33.7870711!4d-84.3873599!16s%2Fg%2F1jglz43_9!19sChIJT87kJGgE9YgRt4pPxB7vb6o?authuser=0&hl=en&rclk=1"
ChIJox0ZRhtN9YgRsA0MrwSd6xc,Roofing Done Wright,,False,360,http://www.roofingdonewright.com/,Roofing Done Wright (Owner),https://www.google.com/maps/contrib/116800100044083717045,https://lh5.googleusercontent.com/p/AF1QipOpS1tagVe1HSltW9rtsFTGOBPuKkNBUi3Zv_3e=w408-h306-k-no,Roofing contractor,Roofing contractor,5,8 AM-6 PM,Sunday,(678) 722-5050,"Roofing Done Wright, 800 Battery Ave SE Suite 100, Atlanta, GA 30339","inspection, job, insurance company, questions, cleaning, video, pictures, sales, home, adjuster",https://www.google.com/maps/place/Roofing+Done+Wright/data=!4m7!3m6!1s0x88f54d1b46191da3:0x17eb9d04af0c0db0!8m2!3d33.8904385!4d-84.4698483!16s%2Fg%2F11j59_8v54!19sChIJox0ZRhtN9YgRsA0MrwSd6xc?authuser=0&hl=en&rclk=1
ChIJP6r3CEPH9IgR2tGXuBZc68c,Hero Roofing,,False,350,https://yourroofhero.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Hero Roofing (Owner),https://www.google.com/maps/contrib/102480088548516006335,https://lh5.googleusercontent.com/p/AF1QipO7Jde7TITOoN7XsEF9Hpc8HFyCR5yS9qnrvfvP=w408-h306-k-no,Roofing contractor,Roofing contractor,5,8 AM-5 PM,"Saturday, Sunday",(833) 761-0642,"Hero Roofing, 751 Corinth Rd, Newnan, GA 30263","job, questions, work, inspection, communication, clean, products, quote, hail, insurance adjuster",https://www.google.com/maps/place/Hero+Roofing/data=!4m7!3m6!1s0x88f4c74308f7aa3f:0xc7eb5c16b897d1da!8m2!3d33.336977!4d-84.7999011!16s%2Fg%2F11h265j5jg!19sChIJP6r3CEPH9IgR2tGXuBZc68c?authuser=0&hl=en&rclk=1
ChIJubt2BHgD9YgRPjZ2i1R_JY4,ImproveIT! of Atlanta,,False,329,https://www.improveitatl.com/,ImproveIT! of Atlanta (Owner),https://www.google.com/maps/contrib/109837647128135773886,https://lh5.googleusercontent.com/p/AF1QipMqWZdz-W3yzcW5hd_onVDImN9J_wVmztW1o5Rl=w426-h240-k-no,Roofing contractor,Roofing contractor,4.7,9 AM-6 PM,"Saturday, Sunday",(770) 612-5635,"ImproveIT! of Atlanta, 4360 Chamblee Dunwoody Rd Suite 500, Brookhaven, GA 30341","job, questions, insurance company, work, call, sales, project coordinator, debris, efficient, color",https://www.google.com/maps/place/ImproveIT!+of+Atlanta/data=!4m7!3m6!1s0x88f503780476bbb9:0x8e257f548b76363e!8m2!3d33.9178737!4d-84.3164835!16s%2Fg%2F11b7hqkxct!19sChIJubt2BHgD9YgRPjZ2i1R_JY4?authuser=0&hl=en&rclk=1
ChIJ8a60z3IW9YgRddt3Z4wTqyg,Georgia Roof Advisors,,False,322,https://georgiaroofadvisors.com/%23/,Georgia Roof Advisors (Owner),https://www.google.com/maps/contrib/103215871922834963992,https://lh5.googleusercontent.com/p/AF1QipNL5AnUhiKLhnlkjHhk6axCQeNuMoFa2ldQ6I62=w426-h240-k-no,Roofing contractor,"Roofing contractor, Gutter cleaning service",4.9,8 AM-7 PM,,(678) 723-9995,"Georgia Roof Advisors, 1290 Kennestone Cir Suite A200, Marietta, GA 30066","inspection, job, questions, project manager, sales, insurance company, work, pictures, integrity, industry",https://www.google.com/maps/place/Georgia+Roof+Advisors/data=!4m7!3m6!1s0x88f51672cfb4aef1:0x28ab138c6777db75!8m2!3d33.9794898!4d-84.5506322!16s%2Fg%2F1q66ndp1c!19sChIJ8a60z3IW9YgRddt3Z4wTqyg?authuser=0&hl=en&rclk=1
ChIJDTeCRucF9YgRGzhC_877GaE,Colony Roofers,,False,276,https://www.colonyroofers.com/,Colony Roofers (Owner),https://www.google.com/maps/contrib/105266368291142256608,https://lh5.googleusercontent.com/p/AF1QipMPhdkdbArPrXcNP3TCKJAtpaR3cgnC4iLgdw2H=w408-h306-k-no,Roofing contractor,Roofing contractor,4.9,Open 24 hours,,(678) 365-3138,"Colony Roofers, 260 Peachtree St NW Suite 2200, Atlanta, GA 30303","inspection, questions, estimate, sales, insurance company, fair, roof repair, pictures, drone, solid",https://www.google.com/maps/place/Colony+Roofers/data=!4m7!3m6!1s0x88f505e74682370d:0xa119fbceff42381b!8m2!3d33.7618083!4d-84.3877535!16s%2Fg%2F11h_vy8p8p!19sChIJDTeCRucF9YgRGzhC_877GaE?authuser=0&hl=en&rclk=1
ChIJjTbzUYG_9YgRmmvC62NYScg,Atlanta Royal Roofing,,False,242,http://www.atlantaroyalroofing.com/,Atlanta Royal Roofing (Owner),https://www.google.com/maps/contrib/108758088540131849353,https://lh5.googleusercontent.com/p/AF1QipNpw3M5eSb4cX0RuIx-KIkQ3FXDfaXpAwgkIeVA=w426-h240-k-no,Roofing contractor,"Roofing contractor, Service establishment",5,9 AM-5 PM,"Saturday, Sunday",(770) 910-6808,,"quality, price, questions, inspection, insurance, roof repair, crew, efficient",https://www.google.com/maps/place/Atlanta+Royal+Roofing/data=!4m7!3m6!1s0x88f5bf8151f3368d:0xc8495863ebc26b9a!8m2!3d33.9407188!4d-84.115992!16s%2Fg%2F11jvl9m3k7!19sChIJjTbzUYG_9YgRmmvC62NYScg?authuser=0&hl=en&rclk=1
